src_ip,dest_ip,protocol,src_port,dest_port,flow_duration,bytes,packets,timestamp,label
103.179.92.15,126.239.53.162,TCP,19719,43828,2.318,7919,164,2025-11-01 00:00:00,0
107.71.188.21,211.144.132.89,ICMP,2253,22895,0.913,8472,16,2025-11-01 00:01:00,0
103.121.210.215,146.251.182.53,ICMP,2554,33976,1.601,8596,193,2025-11-01 00:02:00,0
75.202.87.117,50.71.218.207,ICMP,46609,24993,1.365,1248,67,2025-11-01 00:03:00,0
100.103.151.131,173.140.15.214,ICMP,43371,43737,3.453,4160,167,2025-11-01 00:04:00,0
150.52.1.88,212.12.19.66,UDP,36589,1238,1.723,6516,99,2025-11-01 00:05:00,0
236.157.37.130,227.46.246.147,TCP,2387,4944,3.629,3001,59,2025-11-01 00:06:00,0
192.187.20.161,173.164.121.54,ICMP,38294,53918,5.533,4816,38,2025-11-01 00:07:00,0
204.57.21.253,6.13.131.86,UDP,17860,64722,7.51,2457,144,2025-11-01 00:08:00,1
236.88.48.219,243.182.230.228,UDP,21312,26520,6.192,1656,139,2025-11-01 00:09:00,0
59.254.169.220,162.26.6.131,TCP,23404,26757,1.151,9267,28,2025-11-01 00:10:00,1
188.207.14.190,175.224.1.234,ICMP,46893,43061,0.616,8951,91,2025-11-01 00:11:00,0
190.174.189.51,80.152.59.207,TCP,50753,21221,3.909,4722,111,2025-11-01 00:12:00,0
108.54.243.64,24.14.94.142,ICMP,21327,47799,1.109,9205,94,2025-11-01 00:13:00,0
249.130.228.51,182.205.133.206,TCP,44996,28695,0.444,6865,77,2025-11-01 00:14:00,0
135.20.72.167,81.17.19.115,ICMP,8341,48234,3.744,1886,80,2025-11-01 00:15:00,1
18.131.88.60,190.208.207.40,ICMP,4288,28251,1.979,1411,130,2025-11-01 00:16:00,0
14.241.249.9,39.179.31.124,TCP,19339,13943,7.056,1506,148,2025-11-01 00:17:00,1
90.52.129.84,108.200.26.110,ICMP,38034,33228,1.886,8922,72,2025-11-01 00:18:00,0
92.110.187.199,180.96.190.74,TCP,58357,41610,19.249,127,38,2025-11-01 00:19:00,0
172.252.7.175,191.16.240.49,TCP,13717,12770,7.105,2552,184,2025-11-01 00:20:00,0
35.205.80.164,228.80.209.116,ICMP,17590,16504,0.297,8725,167,2025-11-01 00:21:00,0
50.103.131.2,23.97.71.141,ICMP,61545,53921,3.555,1285,31,2025-11-01 00:22:00,0
254.133.53.106,151.56.189.182,TCP,25835,10448,4.135,6156,80,2025-11-01 00:23:00,0
4.53.220.191,148.85.238.180,UDP,34429,55133,5.942,9373,151,2025-11-01 00:24:00,1
146.217.43.162,23.104.162.67,TCP,53181,8510,3.444,4271,162,2025-11-01 00:25:00,0
202.189.227.14,34.32.45.81,UDP,62642,22866,3.303,1017,96,2025-11-01 00:26:00,0
